compartment_id,week,humidity,ammonia,temperature,light,ventilation_rate,status
2,4,58.8,1.4,22.5,6.7,2.22,1
2,6,56.0,22.3,24.0,5.0,1.87,2
0,0,63.8,0.0,39.3,0.2,0.05,2
2,6,57.7,3.9,22.8,34.5,1.39,0
0,0,49.4,0.5,37.6,0.7,0.23,0
0,0,47.8,2.9,38.6,6.1,0.19,1
2,3,59.7,8.7,27.5,14.4,4.22,0
1,0,54.8,10.5,38.2,10.9,0.63,1
2,6,36.0,2.5,18.0,29.9,0.92,1
0,0,55.3,0.2,36.4,9.9,0.27,1
0,0,59.2,3.3,38.2,7.7,0.31,1
0,0,46.7,1.2,36.8,6.7,0.33,1
0,0,62.5,5.5,38.5,4.7,0.42,1
0,0,46.5,0.7,36.7,0.4,0.51,1
2,2,51.4,3.0,30.9,20.3,1.82,0
0,0,43.1,7.2,37.9,6.0,0.39,1
2,6,65.8,2.8,21.9,8.2,0.81,0
1,0,67.6,0.5,36.5,5.3,1.26,0
1,0,67.4,2.2,36.5,12.3,0.07,2
0,0,45.3,0.7,37.9,1.7,0.53,1
0,0,52.0,0.7,36.7,2.5,0.57,0
0,0,53.4,0.1,38.7,2.8,0.84,1
0,0,60.5,1.9,39.2,4.5,0.78,1
2,3,39.1,13.0,31.9,19.1,1.47,1
1,0,85.3,0.4,37.5,12.5,0.65,2
0,0,50.1,0.6,36.8,7.1,0.52,0
2,3,51.8,22.6,26.0,16.9,3.0,2
2,4,44.9,6.2,26.0,25.9,2.54,0
2,4,56.4,44.7,20.7,34.0,2.8,2
2,1,66.6,15.0,33.5,30.7,1.15,1
1,0,78.5,0.4,37.5,2.4,1.08,1
2,6,43.2,5.3,23.5,18.5,1.12,1
0,0,46.3,0.7,38.4,3.3,0.5,1
2,3,64.9,0.8,32.0,16.0,3.52,1
2,6,52.1,8.0,23.6,28.8,4.19,1
0,0,57.4,0.8,37.6,0.2,0.18,0
0,0,51.3,5.4,35.4,7.5,0.32,2
1,0,66.8,1.9,37.2,12.8,1.27,0
2,2,56.1,9.5,32.7,22.1,2.18,1
1,0,60.9,1.4,35.8,4.8,0.74,1
0,0,47.9,2.0,38.0,3.0,0.05,2
0,0,44.7,0.2,36.9,4.0,0.45,1
1,0,75.3,1.9,36.4,1.4,0.83,0
0,0,54.0,0.7,37.6,0.4,0.38,0
2,6,60.1,14.1,15.0,13.1,1.96,2
1,0,70.3,3.1,37.4,9.6,0.77,0
0,0,49.6,1.4,37.4,7.4,0.2,0
1,0,73.5,2.1,36.1,2.6,1.3,0
0,0,50.6,0.2,35.6,1.8,0.39,1
0,0,55.6,2.4,38.2,4.2,0.68,0
1,0,65.0,0.1,38.3,1.7,1.16,1
1,0,74.9,1.7,37.7,7.0,1.21,1
0,0,43.0,2.5,39.5,0.5,0.64,1
1,0,92.3,4.6,35.1,9.2,1.03,2
2,2,50.4,22.5,30.8,22.3,3.27,2
0,0,56.4,2.5,36.0,8.2,0.44,1
1,0,63.9,1.0,36.0,5.7,1.04,1
2,1,41.1,9.2,31.7,15.2,3.26,0
2,1,54.5,3.4,38.9,33.1,1.93,2
0,0,47.2,3.5,36.9,8.1,0.24,1
0,0,55.7,0.7,36.8,5.8,0.39,0
0,0,61.0,0.7,38.8,3.8,0.52,1
0,0,53.1,1.0,39.1,9.0,0.41,1
2,2,45.2,2.8,30.2,14.9,3.67,0
2,5,63.0,12.5,25.7,7.7,1.44,1
2,2,66.7,3.5,30.6,8.5,1.88,0
0,0,62.5,0.3,38.2,0.8,0.26,1
1,0,58.9,3.5,37.0,12.9,1.03,1
1,0,68.5,6.0,35.9,8.4,1.3,1
2,6,51.4,5.1,20.5,6.7,2.0,0
0,0,58.1,2.9,38.2,2.4,0.24,1
0,0,50.6,8.3,34.5,0.1,0.44,2
0,0,53.1,0.2,37.8,5.5,0.35,0
0,0,48.1,13.7,38.1,7.0,0.16,2
2,1,47.8,0.9,32.6,15.1,2.37,0
1,0,64.7,1.8,35.6,3.9,0.69,1
2,6,37.1,2.5,26.2,9.0,3.35,2
0,0,57.9,5.0,35.4,0.5,0.32,2
2,1,73.3,33.8,32.7,16.3,1.51,2
2,3,46.7,0.3,32.5,9.0,2.09,1
0,0,53.3,3.7,37.5,9.4,0.26,0
1,0,65.4,1.3,37.5,3.1,0.73,0
0,0,63.8,1.1,38.8,1.1,0.4,1
1,0,66.4,6.8,39.3,14.5,1.31,2
1,0,76.8,0.6,36.5,0.4,1.23,0
1,0,71.4,3.7,38.4,9.5,1.02,1
2,3,49.6,6.3,29.0,18.5,1.79,0
1,0,58.1,2.5,37.4,14.7,0.98,1
0,0,48.8,2.2,36.1,3.4,0.05,2
2,3,59.4,1.6,34.3,15.4,1.25,2
2,3,55.2,7.4,29.6,11.7,1.6,0
1,0,69.3,0.9,38.1,5.5,0.64,1
1,0,61.9,0.4,35.3,7.2,1.04,1
2,5,57.2,34.3,29.3,21.1,1.38,2
1,0,64.5,3.0,37.7,10.8,1.14,1
2,6,50.7,4.0,18.6,8.1,2.72,1
2,5,39.5,14.7,24.2,7.7,0.75,1
0,0,64.8,3.9,37.7,5.0,0.53,1
2,4,67.2,10.9,32.9,17.9,1.69,2
1,0,71.6,1.1,36.0,7.5,1.29,1
1,0,73.9,0.4,35.1,2.3,0.77,1
2,6,45.1,18.2,19.5,7.4,1.56,1
2,5,54.0,16.0,24.6,29.5,1.42,1
2,6,56.2,6.8,19.4,13.4,2.6,0
0,0,46.0,1.4,36.8,5.1,0.26,1
1,0,68.5,2.8,36.4,14.0,1.05,0
0,0,53.3,1.0,36.7,1.3,0.55,0
0,0,52.5,2.3,36.8,7.9,0.15,1
2,1,62.7,4.2,34.4,33.0,2.53,0
1,0,73.7,6.4,36.6,12.4,1.24,0
0,0,60.2,1.9,38.2,3.6,0.3,1
2,6,58.0,6.2,23.8,18.2,2.64,1
0,0,51.5,1.2,37.9,5.4,0.4,0
2,6,57.0,3.3,23.3,9.2,2.46,1
2,5,54.6,6.8,28.5,34.9,2.66,2
2,1,55.9,11.5,36.0,31.3,1.62,1
0,0,46.4,1.2,37.6,4.6,0.36,1
0,0,35.0,3.7,40.5,0.1,0.27,2
2,3,61.2,7.3,33.3,29.8,1.91,2
1,0,63.8,11.8,37.2,2.3,0.19,2
0,0,46.4,2.2,38.5,1.0,0.23,1
0,0,64.2,6.8,39.1,9.3,0.25,1
2,1,61.3,4.1,40.6,6.6,2.86,2
0,0,46.6,1.3,36.8,8.6,0.4,1
1,0,60.9,5.4,35.3,6.8,0.91,1
2,6,54.9,4.3,16.5,32.4,0.94,1
0,0,59.3,0.6,36.6,2.1,0.44,1
0,0,51.1,0.2,37.5,10.0,0.13,1
